Date,Portfolio
2020-01-02,0.0004899413555
2020-01-03,0.0004891425183
2020-01-06,0.0
2020-01-07,-0.0003912513044
2020-01-08,0.001508035517
2020-01-09,-1.990519007e-05
2020-01-10,-0.0009074609716999
2020-01-13,0.0006330955097
2020-01-14,0.0021687292828
2020-01-15,-0.002313296121
2020-01-16,-0.0015145631059
2020-01-17,0.006160996726
2020-01-20,-0.0013788783655
2020-01-21,0.0042487888449999
2020-01-22,0.0009304627979999
2020-01-23,0.0019777819793
2020-01-24,0.002413852773
2020-01-27,0.006118069209
2020-01-28,-0.0018059060269
2020-01-29,0.003013304189
2020-01-30,0.00063311045248
2020-01-31,0.0007595553486999
2020-02-03,0.002597096831
2020-02-04,-0.0021454789962999
2020-02-05,0.0003995453995
2020-02-06,0.0008160160592
2020-02-07,0.0020725091766
2020-02-10,0.0002522344834
2020-02-11,-0.0010332463733
2020-02-12,-0.0005810989698
2020-02-13,0.000521335126
2020-02-14,0.0022858034073
2020-02-17,-0.0002341125481999
2020-02-18,0.0023939721299
2020-02-19,-0.0024325718761
2020-02-20,0.000612780374
2020-02-21,-0.00114235767
2020-02-24,0.001688101646
2020-02-25,-0.000804442439
2020-02-26,0.0019727348879999
2020-02-27,0.0010065415904
2020-02-28,0.0058480826696999
2020-03-02,0.0034247525000000003
2020-03-03,0.000656973
2020-03-04,-0.0021243457000000004
2020-03-05,0.0025989436
2020-03-06,0.0004886330000001
2020-03-09,0.0062513976999999995
2020-03-10,0.00023865999999999991
2020-03-11,-0.0019518299999999999
2020-03-12,-0.0013365499999999997
2020-03-13,0.00169112
2020-03-16,0.00133653
2020-03-17,-0.0034919699999999996
2020-03-18,-0.0003310399999999999
2020-03-19,-0.00572142
2020-03-20,-0.0022304
2020-03-23,0.00212446
2020-03-24,0.003255
2020-03-25,0.009373059999999999
2020-03-26,0.01435279
2020-03-27,0.007620824666
2020-03-30,0.0007597415589999999
2020-03-31,-5.607381600000001e-05
2020-04-01,-0.00236652
2020-04-02,-0.00286564
2020-04-03,-0.0018282
2020-04-06,-5.835e-05
2020-04-07,0.00312898
2020-04-08,-0.00087353
2020-04-09,0.00227717
2020-04-10,0.00019835000000000002
2020-04-13,-0.00085218
2020-04-14,0.00226118
2020-04-15,0.0004861999999999998
2020-04-16,-0.0006120060000001001
2020-04-17,0.00102599
2020-04-20,-0.00052432
2020-04-21,0.00684495
2020-04-22,-0.0044095746000000005
2020-04-23,-0.0062646354
2020-04-24,0.0065144325
2020-04-27,-0.0019116089727999998
2020-04-28,-0.0065888179655
2020-04-29,0.010848245192
2020-04-30,0.0157871157767
2020-05-01,-0.0027496307049999997
2020-05-04,-0.0097642498440999
2020-05-05,-0.0083679687305998
2020-05-06,-0.008391335108000001
2020-05-07,0.007635385885
2020-05-08,0.003620372462
2020-05-11,-0.000616458659
2020-05-12,-0.0011637749673
2020-05-13,-0.0034482503540000002
2020-05-14,0.0006092372801999
2020-05-15,-0.002704334764
2020-05-18,0.0120432298409999
2020-05-19,0.0026302479225
2020-05-20,0.0057420138829998996
2020-05-21,-0.0036040213109998
2020-05-22,-0.004937468432
2020-05-25,0.0005367487551
2020-05-26,0.011664690096
2020-05-27,0.00029814048339999984
2020-05-28,0.0058074247279999
2020-05-29,0.0034950390079999
2020-06-01,0.010962537539
2020-06-02,0.0080306494539999
2020-06-03,0.0036828995550000003
2020-06-04,0.0029018571319999998
2020-06-05,0.001680897535
2020-06-08,0.001851352668
2020-06-09,-0.0007879570497
2020-06-10,0.001915268653
2020-06-11,-0.007574234085
